region,year,service,degree.days,nodeInput,building.node.input,CI
North Slope Borough,2016,resid cooling modern,0.176081666218508,resid,resid_building,Ref
North Slope Borough,2016,resid heating modern,18259.8547182388,resid,resid_building,Ref
North Slope Borough,2017,resid cooling modern,3.29542056228621,resid,resid_building,Ref
North Slope Borough,2017,resid heating modern,17149.4640320153,resid,resid_building,Ref
North Slope Borough,2018,resid cooling modern,3.60930056833412,resid,resid_building,Ref
North Slope Borough,2018,resid heating modern,16981.9981939213,resid,resid_building,Ref
North Slope Borough,2019,resid cooling modern,0.20044133936963,resid,resid_building,Ref
North Slope Borough,2019,resid heating modern,18223.4021311316,resid,resid_building,Ref
North Slope Borough,2020,resid cooling modern,0.0317975828077757,resid,resid_building,Ref
North Slope Borough,2020,resid heating modern,17086.750179604,resid,resid_building,Ref
North Slope Borough,2021,resid cooling modern,1.28840898119733,resid,resid_building,Ref
North Slope Borough,2021,resid heating modern,18382.1539969569,resid,resid_building,Ref
North Slope Borough,2022,resid cooling modern,0.0288965030166169,resid,resid_building,Ref
North Slope Borough,2022,resid heating modern,16812.5421573805,resid,resid_building,Ref
North Slope Borough,2023,resid cooling modern,2.2277707817869,resid,resid_building,Ref
North Slope Borough,2023,resid heating modern,17701.6895082485,resid,resid_building,Ref
North Slope Borough,2024,resid cooling modern,1.6908109297451,resid,resid_building,Ref
North Slope Borough,2024,resid heating modern,17637.0348211811,resid,resid_building,Ref
North Slope Borough,2025,resid cooling modern,1.82450732850634,resid,resid_building,Ref
North Slope Borough,2025,resid heating modern,16108.7131444395,resid,resid_building,Ref
North Slope Borough,2026,resid cooling modern,0.328079016011835,resid,resid_building,Ref
North Slope Borough,2026,resid heating modern,17399.1048021878,resid,resid_building,Ref
North Slope Borough,2027,resid cooling modern,4.64968154156637,resid,resid_building,Ref
North Slope Borough,2027,resid heating modern,16347.0089823298,resid,resid_building,Ref
North Slope Borough,2028,resid cooling modern,1.29752656688223,resid,resid_building,Ref
North Slope Borough,2028,resid heating modern,17523.7494241084,resid,resid_building,Ref
North Slope Borough,2029,resid cooling modern,1.00400154191967,resid,resid_building,Ref
North Slope Borough,2029,resid heating modern,17221.2880659627,resid,resid_building,Ref
North Slope Borough,2030,resid cooling modern,0,resid,resid_building,Ref
North Slope Borough,2030,resid heating modern,16967.8472473119,resid,resid_building,Ref
North Slope Borough,2031,resid cooling modern,2.81139773680475,resid,resid_building,Ref
North Slope Borough,2031,resid heating modern,16894.2942407638,resid,resid_building,Ref
North Slope Borough,2032,resid cooling modern,0.0142894843167259,resid,resid_building,Ref
North Slope Borough,2032,resid heating modern,17292.1176627807,resid,resid_building,Ref
North Slope Borough,2033,resid cooling modern,1.83768882980678,resid,resid_building,Ref
North Slope Borough,2033,resid heating modern,16592.4523158916,resid,resid_building,Ref
North Slope Borough,2034,resid cooling modern,0.569275991802748,resid,resid_building,Ref
North Slope Borough,2034,resid heating modern,17732.7635571888,resid,resid_building,Ref
North Slope Borough,2035,resid cooling modern,1.64445390565349,resid,resid_building,Ref
North Slope Borough,2035,resid heating modern,18167.5558856356,resid,resid_building,Ref
North Slope Borough,2036,resid cooling modern,0,resid,resid_building,Ref
North Slope Borough,2036,resid heating modern,18103.5851441414,resid,resid_building,Ref
North Slope Borough,2037,resid cooling modern,6.79846362625903,resid,resid_building,Ref
North Slope Borough,2037,resid heating modern,16592.178740451,resid,resid_building,Ref
North Slope Borough,2038,resid cooling modern,1.34360423691212,resid,resid_building,Ref
North Slope Borough,2038,resid heating modern,17297.794617144,resid,resid_building,Ref
North Slope Borough,2039,resid cooling modern,0.236437675173828,resid,resid_building,Ref
North Slope Borough,2039,resid heating modern,17119.6362282172,resid,resid_building,Ref
North Slope Borough,2040,resid cooling modern,0.680636152274366,resid,resid_building,Ref
North Slope Borough,2040,resid heating modern,17251.1185091846,resid,resid_building,Ref
North Slope Borough,2041,resid cooling modern,0.401133777848858,resid,resid_building,Ref
North Slope Borough,2041,resid heating modern,16627.6796288779,resid,resid_building,Ref
North Slope Borough,2042,resid cooling modern,2.08926697270274,resid,resid_building,Ref
North Slope Borough,2042,resid heating modern,15494.7905286612,resid,resid_building,Ref
