# internal.gains.scalar = exogenous scalar * degree.days / exogenous degree day norm
region,gcam.consumer,nodeInput,building.node.input,thermal.building.service.input,internal.gains.scalar
AK,resid_d1,resid,resid_building,resid cooling modern_d1,10
AK,resid_d2,resid,resid_building,resid cooling modern_d2,10
AK,resid_d3,resid,resid_building,resid cooling modern_d3,10
AK,resid_d4,resid,resid_building,resid cooling modern_d4,10
AK,resid_d5,resid,resid_building,resid cooling modern_d5,10
AK,resid_d6,resid,resid_building,resid cooling modern_d6,10
AK,resid_d7,resid,resid_building,resid cooling modern_d7,10
AK,resid_d8,resid,resid_building,resid cooling modern_d8,10
AK,resid_d9,resid,resid_building,resid cooling modern_d9,10
AK,resid_d10,resid,resid_building,resid cooling modern_d10,10
AK,resid_d1,resid,resid_building,resid heating coal_d1,-2188
AK,resid_d2,resid,resid_building,resid heating coal_d2,-2188
AK,resid_d3,resid,resid_building,resid heating coal_d3,-2188
AK,resid_d4,resid,resid_building,resid heating coal_d4,-2188
AK,resid_d5,resid,resid_building,resid heating coal_d5,-2188
AK,resid_d6,resid,resid_building,resid heating coal_d6,-2188
AK,resid_d7,resid,resid_building,resid heating coal_d7,-2188
AK,resid_d8,resid,resid_building,resid heating coal_d8,-2188
AK,resid_d9,resid,resid_building,resid heating coal_d9,-2188
AK,resid_d10,resid,resid_building,resid heating coal_d10,-2188
AK,resid_d1,resid,resid_building,resid heating modern_d1,-2188
AK,resid_d2,resid,resid_building,resid heating modern_d2,-2188
AK,resid_d3,resid,resid_building,resid heating modern_d3,-2188
AK,resid_d4,resid,resid_building,resid heating modern_d4,-2188
AK,resid_d5,resid,resid_building,resid heating modern_d5,-2188
AK,resid_d6,resid,resid_building,resid heating modern_d6,-2188
AK,resid_d7,resid,resid_building,resid heating modern_d7,-2188
AK,resid_d8,resid,resid_building,resid heating modern_d8,-2188
AK,resid_d9,resid,resid_building,resid heating modern_d9,-2188
AK,resid_d10,resid,resid_building,resid heating modern_d10,-2188
AK,resid_d1,resid,resid_building,resid heating TradBio_d1,-2188
AK,resid_d2,resid,resid_building,resid heating TradBio_d2,-2188
AK,resid_d3,resid,resid_building,resid heating TradBio_d3,-2188
AK,resid_d4,resid,resid_building,resid heating TradBio_d4,-2188
AK,resid_d5,resid,resid_building,resid heating TradBio_d5,-2188
AK,resid_d6,resid,resid_building,resid heating TradBio_d6,-2188
AK,resid_d7,resid,resid_building,resid heating TradBio_d7,-2188
AK,resid_d8,resid,resid_building,resid heating TradBio_d8,-2188
AK,resid_d9,resid,resid_building,resid heating TradBio_d9,-2188
AK,resid_d10,resid,resid_building,resid heating TradBio_d10,-2188
AL,resid_d1,resid,resid_building,resid cooling modern_d1,645
AL,resid_d2,resid,resid_building,resid cooling modern_d2,645
AL,resid_d3,resid,resid_building,resid cooling modern_d3,645
AL,resid_d4,resid,resid_building,resid cooling modern_d4,645
AL,resid_d5,resid,resid_building,resid cooling modern_d5,645
AL,resid_d6,resid,resid_building,resid cooling modern_d6,645
AL,resid_d7,resid,resid_building,resid cooling modern_d7,645
AL,resid_d8,resid,resid_building,resid cooling modern_d8,645
AL,resid_d9,resid,resid_building,resid cooling modern_d9,645
AL,resid_d10,resid,resid_building,resid cooling modern_d10,645
AL,resid_d1,resid,resid_building,resid heating coal_d1,-485
AL,resid_d2,resid,resid_building,resid heating coal_d2,-485
AL,resid_d3,resid,resid_building,resid heating coal_d3,-485
AL,resid_d4,resid,resid_building,resid heating coal_d4,-485
AL,resid_d5,resid,resid_building,resid heating coal_d5,-485
AL,resid_d6,resid,resid_building,resid heating coal_d6,-485
AL,resid_d7,resid,resid_building,resid heating coal_d7,-485
AL,resid_d8,resid,resid_building,resid heating coal_d8,-485
AL,resid_d9,resid,resid_building,resid heating coal_d9,-485
AL,resid_d10,resid,resid_building,resid heating coal_d10,-485
AL,resid_d1,resid,resid_building,resid heating modern_d1,-485
AL,resid_d2,resid,resid_building,resid heating modern_d2,-485
AL,resid_d3,resid,resid_building,resid heating modern_d3,-485
AL,resid_d4,resid,resid_building,resid heating modern_d4,-485
AL,resid_d5,resid,resid_building,resid heating modern_d5,-485
AL,resid_d6,resid,resid_building,resid heating modern_d6,-485
AL,resid_d7,resid,resid_building,resid heating modern_d7,-485
AL,resid_d8,resid,resid_building,resid heating modern_d8,-485
AL,resid_d9,resid,resid_building,resid heating modern_d9,-485
AL,resid_d10,resid,resid_building,resid heating modern_d10,-485
AL,resid_d1,resid,resid_building,resid heating TradBio_d1,-485
AL,resid_d2,resid,resid_building,resid heating TradBio_d2,-485
AL,resid_d3,resid,resid_building,resid heating TradBio_d3,-485
AL,resid_d4,resid,resid_building,resid heating TradBio_d4,-485
AL,resid_d5,resid,resid_building,resid heating TradBio_d5,-485
AL,resid_d6,resid,resid_building,resid heating TradBio_d6,-485
AL,resid_d7,resid,resid_building,resid heating TradBio_d7,-485
AL,resid_d8,resid,resid_building,resid heating TradBio_d8,-485
AL,resid_d9,resid,resid_building,resid heating TradBio_d9,-485
AL,resid_d10,resid,resid_building,resid heating TradBio_d10,-485
AR,resid_d1,resid,resid_building,resid cooling modern_d1,642
AR,resid_d2,resid,resid_building,resid cooling modern_d2,642
AR,resid_d3,resid,resid_building,resid cooling modern_d3,642
AR,resid_d4,resid,resid_building,resid cooling modern_d4,642
AR,resid_d5,resid,resid_building,resid cooling modern_d5,642
AR,resid_d6,resid,resid_building,resid cooling modern_d6,642
AR,resid_d7,resid,resid_building,resid cooling modern_d7,642
AR,resid_d8,resid,resid_building,resid cooling modern_d8,642
AR,resid_d9,resid,resid_building,resid cooling modern_d9,642
AR,resid_d10,resid,resid_building,resid cooling modern_d10,642
AR,resid_d1,resid,resid_building,resid heating coal_d1,-622
AR,resid_d2,resid,resid_building,resid heating coal_d2,-622
AR,resid_d3,resid,resid_building,resid heating coal_d3,-622
AR,resid_d4,resid,resid_building,resid heating coal_d4,-622
AR,resid_d5,resid,resid_building,resid heating coal_d5,-622
AR,resid_d6,resid,resid_building,resid heating coal_d6,-622
AR,resid_d7,resid,resid_building,resid heating coal_d7,-622
AR,resid_d8,resid,resid_building,resid heating coal_d8,-622
AR,resid_d9,resid,resid_building,resid heating coal_d9,-622
AR,resid_d10,resid,resid_building,resid heating coal_d10,-622
AR,resid_d1,resid,resid_building,resid heating modern_d1,-622
AR,resid_d2,resid,resid_building,resid heating modern_d2,-622
AR,resid_d3,resid,resid_building,resid heating modern_d3,-622
AR,resid_d4,resid,resid_building,resid heating modern_d4,-622
AR,resid_d5,resid,resid_building,resid heating modern_d5,-622
AR,resid_d6,resid,resid_building,resid heating modern_d6,-622
AR,resid_d7,resid,resid_building,resid heating modern_d7,-622
AR,resid_d8,resid,resid_building,resid heating modern_d8,-622
AR,resid_d9,resid,resid_building,resid heating modern_d9,-622
AR,resid_d10,resid,resid_building,resid heating modern_d10,-622
AR,resid_d1,resid,resid_building,resid heating TradBio_d1,-622
AR,resid_d2,resid,resid_building,resid heating TradBio_d2,-622
AR,resid_d3,resid,resid_building,resid heating TradBio_d3,-622
AR,resid_d4,resid,resid_building,resid heating TradBio_d4,-622
AR,resid_d5,resid,resid_building,resid heating TradBio_d5,-622
AR,resid_d6,resid,resid_building,resid heating TradBio_d6,-622
AR,resid_d7,resid,resid_building,resid heating TradBio_d7,-622
AR,resid_d8,resid,resid_building,resid heating TradBio_d8,-622
AR,resid_d9,resid,resid_building,resid heating TradBio_d9,-622
AR,resid_d10,resid,resid_building,resid heating TradBio_d10,-622
AZ,resid_d1,resid,resid_building,resid cooling modern_d1,835
AZ,resid_d2,resid,resid_building,resid cooling modern_d2,835
AZ,resid_d3,resid,resid_building,resid cooling modern_d3,835
AZ,resid_d4,resid,resid_building,resid cooling modern_d4,835
AZ,resid_d5,resid,resid_building,resid cooling modern_d5,835
AZ,resid_d6,resid,resid_building,resid cooling modern_d6,835
AZ,resid_d7,resid,resid_building,resid cooling modern_d7,835
AZ,resid_d8,resid,resid_building,resid cooling modern_d8,835
AZ,resid_d9,resid,resid_building,resid cooling modern_d9,835
AZ,resid_d10,resid,resid_building,resid cooling modern_d10,835
AZ,resid_d1,resid,resid_building,resid heating coal_d1,-428
AZ,resid_d2,resid,resid_building,resid heating coal_d2,-428
