"borough","year","borough.cdd","borough.hdd","scenario"
"North Slope Borough",2015,2.13248202546826,17656.7596065455,"Ref"
"North Slope Borough",2016,0.176081666218508,18259.8547182388,"Ref"
"North Slope Borough",2017,3.29542056228621,17149.4640320153,"Ref"
"North Slope Borough",2018,3.60930056833412,16981.9981939213,"Ref"
"North Slope Borough",2019,0.20044133936963,18223.4021311316,"Ref"
"North Slope Borough",2020,0.0317975828077757,17086.750179604,"Ref"
"North Slope Borough",2021,1.28840898119733,18382.1539969569,"Ref"
"North Slope Borough",2022,0.0288965030166169,16812.5421573805,"Ref"
"North Slope Borough",2023,2.2277707817869,17701.6895082485,"Ref"
"North Slope Borough",2024,1.6908109297451,17637.0348211811,"Ref"
"North Slope Borough",2025,1.82450732850634,16108.7131444395,"Ref"
"North Slope Borough",2026,0.328079016011835,17399.1048021878,"Ref"
"North Slope Borough",2027,4.64968154156637,16347.0089823298,"Ref"
"North Slope Borough",2028,1.29752656688223,17523.7494241084,"Ref"
"North Slope Borough",2029,1.00400154191967,17221.2880659627,"Ref"
"North Slope Borough",2030,0,16967.8472473119,"Ref"
"North Slope Borough",2031,2.81139773680475,16894.2942407638,"Ref"
"North Slope Borough",2032,0.0142894843167259,17292.1176627807,"Ref"
"North Slope Borough",2033,1.83768882980678,16592.4523158916,"Ref"
"North Slope Borough",2034,0.569275991802748,17732.7635571888,"Ref"
"North Slope Borough",2035,1.64445390565349,18167.5558856356,"Ref"
"North Slope Borough",2036,0,18103.5851441414,"Ref"
"North Slope Borough",2037,6.79846362625903,16592.178740451,"Ref"
"North Slope Borough",2038,1.34360423691212,17297.794617144,"Ref"
"North Slope Borough",2039,0.236437675173828,17119.6362282172,"Ref"
"North Slope Borough",2040,0.680636152274366,17251.1185091846,"Ref"
"North Slope Borough",2041,0.401133777848858,16627.6796288779,"Ref"
"North Slope Borough",2042,2.08926697270274,15494.7905286612,"Ref"
"North Slope Borough",2043,1.65153872305056,16682.4478275328,"Ref"
"North Slope Borough",2044,3.60631469615434,16054.4814921671,"Ref"
"North Slope Borough",2045,3.72126629506571,16678.1152421615,"Ref"
"North Slope Borough",2046,2.33273564148266,15626.4136228735,"Ref"
"North Slope Borough",2047,2.23614727667233,15562.7425539363,"Ref"
"North Slope Borough",2048,0.453956813515949,16189.6196848499,"Ref"
"North Slope Borough",2049,1.32118189501136,15263.1782087216,"Ref"
"North Slope Borough",2050,2.81993762745132,15212.5361778395,"Ref"
"North Slope Borough",2051,0.502801163030288,15401.0491663978,"Ref"
"North Slope Borough",2052,3.37468680366402,15328.0382929999,"Ref"
"North Slope Borough",2053,5.10765590842835,14117.0992101,"Ref"
"North Slope Borough",2054,8.37846623755498,14934.3639404105,"Ref"
"North Slope Borough",2055,5.71808690915838,15711.2029285018,"Ref"
"North Slope Borough",2056,1.87018616835777,16013.73488441,"Ref"
"North Slope Borough",2057,5.29645497609805,16132.9007663634,"Ref"
"North Slope Borough",2058,1.5772365515376,16282.8550740509,"Ref"
"North Slope Borough",2059,2.22116874492952,15690.7779880047,"Ref"
"North Slope Borough",2060,0.43845204447466,15664.9991166751,"Ref"
"North Slope Borough",2061,0.663692316534411,14712.4007941631,"Ref"
"North Slope Borough",2062,0.715185554044864,14613.1563191729,"Ref"
"North Slope Borough",2063,1.24059372281194,14611.8759481522,"Ref"
"North Slope Borough",2064,3.43664468944566,14057.3598277654,"Ref"
"North Slope Borough",2065,2.0374699686454,15943.2531226056,"Ref"
"North Slope Borough",2066,3.88662412803133,15219.8558669712,"Ref"
"North Slope Borough",2067,3.39060608729319,14450.567895181,"Ref"
"North Slope Borough",2068,1.41090316902865,15410.69817228,"Ref"
"North Slope Borough",2069,0.573616138292574,15752.3167027844,"Ref"
"North Slope Borough",2070,1.59193907094324,14393.7528982366,"Ref"
"Northwest Arctic Borough",2015,0.0394747805948152,15373.4130859261,"Ref"
"Northwest Arctic Borough",2016,0.00944759225852641,15673.8203425697,"Ref"
"Northwest Arctic Borough",2017,0.670495772427562,14836.9578475329,"Ref"
"Northwest Arctic Borough",2018,0.523448444201585,14418.5993150228,"Ref"
"Northwest Arctic Borough",2019,0,16647.636481949,"Ref"
"Northwest Arctic Borough",2020,0.025409461444976,14575.9730377052,"Ref"
"Northwest Arctic Borough",2021,0.00856593856641497,15666.9408556913,"Ref"
"Northwest Arctic Borough",2022,0,14386.9268284134,"Ref"
"Northwest Arctic Borough",2023,3.38926047719504,15420.5663486467,"Ref"
"Northwest Arctic Borough",2024,2.14911192766517,14781.6063862072,"Ref"
"Northwest Arctic Borough",2025,1.1374184435574,13831.6369476158,"Ref"
"Northwest Arctic Borough",2026,0.0298666985721395,15125.7754407773,"Ref"
"Northwest Arctic Borough",2027,0.0410964814702202,13895.1685207621,"Ref"
"Northwest Arctic Borough",2028,0.169697479559962,15186.7344075804,"Ref"
"Northwest Arctic Borough",2029,0,15472.3167593074,"Ref"
"Northwest Arctic Borough",2030,0,14484.071798463,"Ref"
"Northwest Arctic Borough",2031,0.456935589324893,14354.7658404161,"Ref"
"Northwest Arctic Borough",2032,0,15220.8288292074,"Ref"
"Northwest Arctic Borough",2033,1.65030436870326,13708.8796548325,"Ref"
"Northwest Arctic Borough",2034,0,14400.3733596927,"Ref"
"Northwest Arctic Borough",2035,0.897131669608761,15498.7049684316,"Ref"
"Northwest Arctic Borough",2036,0,15086.4487811994,"Ref"
"Northwest Arctic Borough",2037,0.357631044278696,14718.9652043641,"Ref"
"Northwest Arctic Borough",2038,0,15134.3528376443,"Ref"
"Northwest Arctic Borough",2039,0,14841.8119845136,"Ref"
"Northwest Arctic Borough",2040,0.0245518954139661,14556.7563123484,"Ref"
"Northwest Arctic Borough",2041,0.65331055809402,14026.7442672671,"Ref"
"Northwest Arctic Borough",2042,1.50508467930717,13081.1360107599,"Ref"
"Northwest Arctic Borough",2043,1.20621719841343,14889.1253672438,"Ref"
"Northwest Arctic Borough",2044,4.57592852625494,13726.1230042217,"Ref"
"Northwest Arctic Borough",2045,0,15036.6617539174,"Ref"
"Northwest Arctic Borough",2046,2.42145186347745,13119.7966776826,"Ref"
"Northwest Arctic Borough",2047,3.4259951297026,13647.0784477725,"Ref"
"Northwest Arctic Borough",2048,5.41198560159458,14129.6892652729,"Ref"
