Units,scenario,service,group,subsector,technology,year,value,region
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,1975,1.7686667208910762,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,1975,12.005157764651543,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,1990,3.5859667208910766,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,1990,13.822457764651542,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2005,3.8450267208910764,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2005,14.081517764651542,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2010,6.970236720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2010,17.20672776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2015,7.980436720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2015,18.216927764651544,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2020,7.861236720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2020,18.09772776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2025,7.934636720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2025,18.171127764651544,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2030,7.922636720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2030,18.159127764651544,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2035,7.804936720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2035,18.041427764651544,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2040,7.747936720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2040,17.984427764651542,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2045,7.832436720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2045,18.06892776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2050,7.885336720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2050,18.121827764651542,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2055,7.799436720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2055,18.03592776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2060,7.807136720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2060,18.04362776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2065,7.807036720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2065,18.043527764651543,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2070,7.878236720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2070,18.11472776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2075,7.850436720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2075,18.08692776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2080,7.802236720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2080,18.03872776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2085,7.688736720891076,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2085,17.92522776465154,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2090,7.537436720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2090,17.773927764651543,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2095,7.356236720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2095,17.592727764651542,Northwest Arctic Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2100,7.121936720891077,North Slope Borough
1975$/GJ,Ref_e1,resid heating modern,d1,refined liquids,fuel furnace,2100,17.358427764651545,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,1975,1.7686667208910762,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,1975,12.005157764651543,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,1990,3.5859667208910766,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,1990,13.822457764651542,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2005,3.8450267208910764,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2005,14.081517764651542,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2010,6.970236720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2010,17.20672776465154,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2015,7.980436720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2015,18.216927764651544,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2020,7.861236720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2020,18.09772776465154,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2025,7.934636720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2025,18.171127764651544,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2030,7.922636720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2030,18.159127764651544,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2035,7.804936720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2035,18.041427764651544,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2040,7.747936720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2040,17.984427764651542,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2045,7.832436720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2045,18.06892776465154,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2050,7.885336720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2050,18.121827764651542,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2055,7.799436720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2055,18.03592776465154,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2060,7.807136720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2060,18.04362776465154,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2065,7.807036720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2065,18.043527764651543,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2070,7.878136720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2070,18.114627764651544,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2075,7.879836720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2075,18.116327764651544,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2080,7.828636720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2080,18.065127764651542,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2085,7.7137367208910765,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2085,17.950227764651544,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2090,7.561236720891077,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2090,17.79772776465154,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2095,7.372636720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2095,17.60912776465154,Northwest Arctic Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2100,7.138336720891076,North Slope Borough
1975$/GJ,Ref_e2,resid heating modern,d1,refined liquids,fuel furnace,2100,17.374827764651542,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,1975,1.7686667208910762,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,1975,12.005157764651543,Northwest Arctic Borough
