Source: State of Alaska Geoportal - https://gis.data.alaska.gov/maps/e08c3faedf7842b382f415511402d9d1,,,,,,,,,,
X,Y,OBJECTID,CommunityName,EntityName,ReportingSeason,ReportingDate,ReportingPeriod,ReportingYear,HFRetailGal,AsOfDate
-162.2915039,63.52392578,1,Stebbins,Tapraq Fuel Company,Winter,2011/01/15 09:00:00+00,Jan,2011,5.61,2019/02/06 09:00:00+00
-152.0776978,65.17132568,2,Tanana,Tanana Tribal Council,Winter,2011/01/15 09:00:00+00,Jan,2011,4.25,2019/02/06 09:00:00+00
-166.3651123,65.26287842,3,Teller,Teller Native Fuel Business,Winter,2011/01/15 09:00:00+00,Jan,2011,4.78,2019/02/06 09:00:00+00
-132.5228271,55.68548584,4,Thorne Bay,Petro Marine,Winter,2011/01/15 09:00:00+00,Jan,2011,3.59,2019/02/06 09:00:00+00
-160.3787842,59.06048584,5,Togiak,Togiak Natives Limited,Winter,2011/01/15 09:00:00+00,Jan,2011,4.85,2019/02/06 09:00:00+00
-162.6762085,60.34289551,6,Tuntutuliak,Qinarmiut Corporation,Winter,2011/01/15 09:00:00+00,Jan,2011,5.65,2019/02/06 09:00:00+00
-160.7919922,63.87670898,7,Unalakleet,Unalakleet Native Corporation,Winter,2011/01/15 09:00:00+00,Jan,2011,5.07,2019/02/06 09:00:00+00
-166.5375977,53.87310791,8,Unalaska,Delta Western,Winter,2011/01/15 09:00:00+00,Jan,2011,3.88,2019/02/06 09:00:00+00
-160.3156128,61.53833008,9,Upper Kalskag,City of Upper Kalskag,Winter,2011/01/15 09:00:00+00,Jan,2011,5.5,2019/02/06 09:00:00+00
-168.0911865,65.60913086,10,Wales,Wales Native Store,Winter,2011/01/15 09:00:00+00,Jan,2011,7.98,2019/02/06 09:00:00+00
-163.4104004,64.68127441,11,White Mountain,White Mountain Native Store,Winter,2011/01/15 09:00:00+00,Jan,2011,4.03,2019/02/06 09:00:00+00
-132.383606,56.47052002,12,Wrangell,Wrangell Oil,Winter,2011/01/15 09:00:00+00,Jan,2011,4.25,2019/02/06 09:00:00+00
-165.7734985,54.13427734,13,Akutan,City of Akutan,Summer,2010/06/15 09:00:00+00,Jun,2010,2.87,2019/02/06 09:00:00+00
-152.7012939,66.55450439,14,Alatna,Alatna Traditional Council,Summer,2010/06/15 09:00:00+00,Jun,2010,6.5,2019/02/06 09:00:00+00
