X,Y,OBJECTID,CommunityName,EntityName,Population,ResidentialCustomers,CommunityFacilitiesCustomers,ResidentialKwhEligibleforPCE,CommunityFacilitiesKwhEligiblef,TotalKwhEligibleforPCECredit,TotalkWhSold,TotalDieselFuelUsed,TotalCostOfFuel,AveragePriceOfFuelPerGallon,TotalNonFuelExpenses,YearToDatePCEDisbursements,TotalDieselGeneratedKwh,TotalNonDieselGeneratedKwh,TotalPurchasedKwhs,ResidentialRateBasedOn500Kwh,PCELevel,EffectiveResidentialRate,Notes,DataYear
-157.8565278,67.08647078,69,Ambler,Alaska Village Electric Coop,274,88,16,327094,210927,538021,1288391,94586,439910.53,4.65,366031.88,228551.69,1354290,0,0,0.7225,0.4947,0.2278,,2016
-160.4373192,66.97420282,87,Kiana,Alaska Village Electric Coop,403,123,15,493408,206741,700149,1471288,113839,391030.78,3.43,417992.92,262986.55,1580983,0,0,0.5888,0.3677,0.2211,,2016
-164.5399655,67.72738683,88,Kivalina,Alaska Village Electric Coop,411,85,10,402737,104961,507698,1221812,87675,308509.21,3.52,347116.79,200101.88,1297360,0,0,0.565,0.345,0.22,,2016
-156.8823728,66.90770092,89,Kobuk,Alaska Village Electric Coop,152,37,3,138828,89593,228421,576943,0,0,0,163909.51,199079.96,0,0,0,0.7346,0.5062,0.2284,Receives power from Shungnak,2016
-162.9885,67.5718168,99,Noatak,Alaska Village Electric Coop,556,121,9,622651,206215,828866,1736265,132906,899476.41,6.77,493272.89,503310.6,1866872,0,0,0.8247,0.5918,0.2329,,2016
-161.0468258,66.83334504,100,Noorvik,Alaska Village Electric Coop,639,137,11,628470,316734,945204,1814914,131544,482845.76,3.67,515617.07,382083.46,1895588,0,0,0.5922,0.3709,0.2213,,2016
-160.0101102,66.60439151,110,Selawik,Alaska Village Electric Coop,876,170,18,780306,549538,1329844,2659633,196437,717659.45,3.65,755601.74,471219.74,2719620,117902,0,0.553,0.3323,0.2207,,2016
-157.1381905,66.8880443,114,Shungnak,Alaska Village Electric Coop,308,62,10,280170,147166,427336,879140,121883,635751.7,5.22,249763.67,217216.07,1572529,0,0,0.7346,0.5062,0.2284,Provides power to Kobuk,2016
-161.1290202,65.97765384,131,Buckland,City of Buckland  C/O,482,98,10,491984,104019,596003,1602539,110049,415193.16,3.77,70578.91,113849.16,1584351,166470,0,0.4741,0.1764,0.2977,,2016
-162.7288422,66.07667336,158,Deering,Ipnatchiaq Electric Company,152,44,5,178572,88809,267381,642483,44154,143424.84,3.25,439641.49,86720.81,612613,0,0,0.7047,0.3191,0.3856,Diesel generation less than sales; Fuel use not available Mar-Apr,2016
-162.5929893,66.89667542,162,Kotzebue,Kotzebue Electric Association,3153,1049,29,3739525,1519202,5258727,19525399,1200444,3490829.69,2.91,0,1153179,17725701,3551337,0,0.4098,0.2224,0.1874,Non-fuel costs not reported,2016
-151.7358661,68.14185077,186,Anaktuvuk Pass,North Slope Borough,375,98,2,0,50563,50563,3559611,306563,1947328.36,6.35,897765.86,5054.15,4058000,0,0,0.15,0,0.15,Residential customers not eligible,2016
-157.4235473,70.48213652,187,Atqasuk,North Slope Borough,248,61,2,0,56563,56563,3093104,262108,1662023.02,6.34,973002.75,5913.55,3326635,0,0,0.15,0,0.15,Residential customers not eligible,2016
-143.6128541,70.12661247,188,Kaktovik,North Slope Borough,262,77,3,0,64391,64391,4818701,374406,1661683.79,4.44,835018.06,6474.15,4831000,0,0,0.15,0,0.15,Residential customers not eligible,2016
-150.9990162,70.21731414,189,Nuiqsut,North Slope Borough,449,109,4,0,84543,84543,5882628,21880,128084.44,5.85,743097.7,8972.2,243619,6572451,0,0.08,0,0.08,Residential customers not eligible,2016
-166.7342719,68.34808223,190,Point Hope,North Slope Borough,697,186,2,0,101318,101318,5485376,426474,1904113.44,4.46,1159697.58,12526.5,6677261,0,0,0.15,0,0.15,Residential customers not eligible,2016
-163.0091377,69.74312289,191,Point Lay,North Slope Borough,242,59,1,0,22969,22969,3507738,256135,1171513.4,4.57,855141.39,2364.3,3685185,0,0,0.15,0,0.15,Residential customers not eligible,2016
-160.0322305,70.63853949,192,Wainwright,North Slope Borough,550,149,3,0,56903,56903,6270258,560402,2437164.16,4.35,985534.61,5335.84,7426160,0,0,0.15,0,0.15,Residential customers not eligible,2016
-157.8565278,67.08647078,259,Ambler,Alaska Village Electric Coop,261,80,11,299482,216811,516293,1237535,94558,376976.14,3.986719,314106.84,195775.66,1314441,0,0,60.6,39.61,20.99,,2011
-160.4373192,66.97420282,274,Kiana,Alaska Village Electric Coop,374,117,12,429058,228162,657220,1442145,124931,468081.84,3.746723,366040.25,259086.05,1564478,0,0,63.52,42.38,21.14,,2011
-164.5399655,67.72738683,275,Kivalina,Alaska Village Electric Coop,410,86,12,355574,113862,469436,1156206,100521,376801.42,3.748485,293464.2,180737.98,1258454,0,0,63.3,42.17,21.13,,2011
-162.9885,67.5718168,285,Noatak,Alaska Village Electric Coop,486,124,8,564963,248534,813497,1755716,135428,782264.23,5.776237,445629.75,411948.75,1847119,0,0,72.73,51.13,21.6,,2011
-161.0468258,66.83334504,286,Noorvik,Alaska Village Electric Coop,628,150,8,673383,333387,1006770,1919187,151077,570062.75,3.773326,487121.39,370114.74,2022611,0,0,60.79,39.79,21,,2011
-160.0101102,66.60439151,296,Selawik,Alaska Village Electric Coop,849,188,20,769953,579883,1349836,2591268,192599,715986.41,3.717498,657706.66,455137.91,2614080,148869,0,56.3,35.52,20.78,,2011
-157.1381905,66.8880443,300,Shungnak,Alaska Village Electric Coop,270,58,8,259834,152252,412086,1473613,111606,573397.76,5.137697,374027.34,193399.75,1546541,0,0,67.9,46.54,21.36,,2011
-161.1290202,65.97765384,318,Buckland,City of Buckland  C/O,432,84,6,340505,11398,351903,1292641,116316,466667.54,4.012067,0,96247.54,1481652,0,0,47.41,27.41,20,Non Fuel Costs not reported,2011
-156.8823728,66.90770092,348,Kobuk,Kobuk Valley Electric Company,122,33,7,54641,49502,104143,509848,0,0,0,0,47776.86,0,0,580309,87,46.73,40.27,kWh purchased 12/10 estimated based on kWh sold;  NonFuel $ not reported,2011
-162.5929893,66.89667542,350,Kotzebue,Kotzebue Electric Association,3154,975,29,3804173,1774847,5579020,20372990,1465190,4933056.02,3.366837,0,1487477.24,20926715,1456609,0,42.2,26.49,15.71,Non Fuel Costs not reported,2011
-151.7358661,68.14185077,373,Anaktuvuk Pass,North Slope Borough,287,91,2,233482,75868,309350,3347869,270230,1334935.69,4.939998,683946.86,13797.06,3706000,0,0,15,0.61,14.39,,2011
-157.4235473,70.48213652,374,Atqasuk,North Slope Borough,201,57,2,183620,93357,276977,3033713,311501,495628.44,1.591097,587063.85,17132.22,3329040,0,0,15,0.61,14.39,,2011
-143.6128541,70.12661247,375,Kaktovik,North Slope Borough,286,79,4,205120,92335,297455,4704396,348898,1545616.81,4.429996,614875.28,14621.21,4981900,0,0,15,0.61,14.39,,2011
-150.9990162,70.21731414,376,Nuiqsut,North Slope Borough,424,105,3,0,51041,51041,4835638,49893,114615.9,2.297234,277541.51,6814.73,594791,5020045,0,8,0,8,Non Diesel kWh gen = natural gas; Diesel kWh & fuel $ are 01/11-06/11 only,2011
-166.7342719,68.34808223,377,Point Hope,North Slope Borough,713,181,2,531976,172448,704424,5593469,398268,1764332.56,4.430013,745050.22,35371.79,6648610,0,0,15,0.61,14.39,,2011
-163.0091377,69.74312289,378,Point Lay,North Slope Borough,234,55,1,175120,20034,195154,2418560,279848,1239726.64,4.43,590959.57,4297.22,3503657,0,0,15,0.61,14.39,,2011
-160.0322305,70.63853949,379,Wainwright,North Slope Borough,551,142,3,406273,89432,495705,4919712,476709,2111820.87,4.43,625774.84,17330.22,5634912,0,0,15,0.61,14.39,,2011
-157.8565278,67.08647078,439,Ambler,Alaska Village Electric Coop,274,85,11,296299,192062,488361,1238435,1293905,231205.95,2.495,,113323.33,1293905,,,0.4917,0.2955,0.1962,Non-fuel expenses for all AVEC locations are reported with Wales as a total.,2006
-160.4373192,66.97420282,454,Kiana,Alaska Village Electric Coop,394,130,14,454393,169000,623393,1427218,1519107,267417.81,2.4132,,158218.75,1519107,,,0.5159,0.3184,0.1975,Non-fuel expenses for all AVEC locations are reported with Wales as a total.,2006
-164.5399655,67.72738683,455,Kivalina,Alaska Village Electric Coop,388,85,6,332660,97700,430360,1133175,1215636,208087.9,2.3886,,108379.47,1215636,,,0.5191,0.3215,0.1976,Non-fuel expenses for all AVEC locations are reported with Wales as a total.,2006
-162.9885,67.5718168,464,Noatak,Alaska Village Electric Coop,448,114,8,513376,192585,705961,1401284,1488500,375856.49,3.4902,,211131.2,1488500,,,0.6489,0.381,0.2679,Non-fuel expenses for all AVEC locations are reported with Wales as a total.,2006
-161.0468258,66.83334504,465,Noorvik,Alaska Village Electric Coop,609,187,9,646777,311483,958260,1817539,1951017,354954.39,2.3809,,243840.31,1951017,,,0.5259,0.3279,0.198,Non-fuel expenses for all AVEC locations are reported with Wales as a total.,2006
-160.0101102,66.60439151,475,Selawik,Alaska Village Electric Coop,829,218,17,752498,535670,1288168,2495325,2757588,492710.72,2.4054,,327970.3,2757588,109157,,0.5237,0.3259,0.1978,All kWhs generated non-diesel were wind generated. Non-fuel expenses for all AVEC locations are reported with Wales as a total.,2006
-157.1381905,66.8880443,479,Shungnak,Alaska Village Electric Coop,264,64,7,265094,152432,417526,1427453,1506432,355978.19,3.1506,,103509.73,1506432,,,0.5152,0.3178,0.1974,Non-fuel expenses for all AVEC locations are reported with Wales as a total.,2006
-161.1290202,65.97765384,496,Buckland,"Buckland, City of",437,84,6,296792,2495,299287,1235124,1497970,256022.4,2.4417,,53092.62,1497970,,,0.4036,0.2258,0.1778,Total Non Fuel Expenses calculations could not be made due to lack of data or other circumstances.,2006
-162.7288422,66.07667336,527,Deering,Ipnatchiaq Electric Company,145,49,7,197189,113109,310298,704279,661760,137683.62,2.4364,132833.22,57902.97,661760,,,0.49,0.2445,0.2455,,2006
-156.8823728,66.90770092,530,Kobuk,Kobuk Valley Electric Company,128,35,6,115574,4934,120508,487402,,,,,21002.09,,,511018,0.53,0.1535,0.3765,"All kWhs purchased were diesel generated. Total Fuel Used (Diesel), Total Cost of Fuel, Average Price of Fuel ($/Gallon), Total Non Fuel Expenses and Total Diesel Generated kWh calculations could not be made due to lack of data or other circumstances.",2006
-162.5929893,66.89667542,534,Kotzebue,Kotzebue Electric Association,3130,975,29,3948953,1854079,5803032,21522890,22467785,2996135.12,1.9563,6461199.58,781636.01,22467785,667580,,0.3205,0.1731,0.1474,,2006
-151.7358661,68.14185077,556,Anaktuvuk Pass,North Slope Borough,300,85,2,287396,74823,362219,3497439,4513013,590521.48,2.11,272732,14864.13,4513013,,,0.15,0.03,0.12,,2006
-157.4235473,70.48213652,557,Atqasuk,North Slope Borough,218,57,2,210324,92524,302848,3068257,3394851,773022.86,3.2264,235983,14069.21,3394851,,,0.15,0.03,0.12,,2006
-143.6128541,70.12661247,558,Kaktovik,North Slope Borough,284,62,3,239526,36872,276398,3950343,4921500,685465.69,1.8054,318023,8381.1,4921500,,,0.15,0.03,0.12,,2006
