source: https://gis.data.alaska.gov/datasets/a8cb2e38a0ed497e9dc2ead8c27ee6d9_2/,,,
Place,e_Per_Capita_Income,Start_Year,End_Year
Alaska,31944,2007,2011
Aleutians East Borough,24387,2007,2011
Aleutians West Census Area,31188,2007,2011
Anchorage,35580,2007,2011
Bethel Census Area,18392,2007,2011
Bristol Bay Borough,35981,2007,2011
Denali Borough,38804,2007,2011
Dillingham Census Area,22603,2007,2011
Fairbanks North Star Borough,31532,2007,2011
Haines Borough,30090,2007,2011
Hoonah-Angoon Census Area,28398,2007,2011
Juneau,37294,2007,2011
Kenai Peninsula Borough,30256,2007,2011
Ketchikan Gateway Borough,29998,2007,2011
Kodiak Island Borough,26720,2007,2011
Lake and Peninsula Borough,21210,2007,2011
Matanuska-Susitna Borough,29292,2007,2011
Nome Census Area,20325,2007,2011
North Slope Borough,35423,2007,2011
Northwest Arctic Borough,21751,2007,2011
Petersburg Census Area,31279,2007,2011
Prince of Wales-Hyder Census Area,24902,2007,2011
Sitka,32451,2007,2011
Skagway,36108,2007,2011
Southeast Fairbanks Census Area,29014,2007,2011
Valdez-Cordova Census Area,31029,2007,2011
Kusilvak Census Area,11476,2007,2011
Wrangell,29643,2007,2011
Yakutat,37556,2007,2011
Yukon-Koyukuk Census Area,19923,2007,2011
Adak,31242,2007,2011
Akhiok,7890,2007,2011
Akiachak,13074,2007,2011
Akiak,13469,2007,2011
Akutan,25384,2007,2011
Alakanuk,14141,2007,2011
Alatna,,2007,2011
Alcan Border,,2007,2011
Aleknagik,18230,2007,2011
Aleneva,,2007,2011
Allakaket,15611,2007,2011
Ambler,14767,2007,2011
Anaktuvuk Pass,18946,2007,2011
Anchor Point,26940,2007,2011
Anchorage,35580,2007,2011
Anderson,50245,2007,2011
Angoon,17366,2007,2011
Aniak,22010,2007,2011
Anvik,10981,2007,2011
Arctic Village,17551,2007,2011
Atka,35663,2007,2011
Atmautluak,12289,2007,2011
Atqasuk,18747,2007,2011
Attu Station,58761,2007,2011
Badger,30238,2007,2011
Utqiagvik,26159,2007,2011
Bear Creek,22988,2007,2011
Beaver,13849,2007,2011
Beluga,,2007,2011
Bethel,29261,2007,2011
Bettles,47560,2007,2011
Big Delta,21760,2007,2011
Big Lake,28126,2007,2011
Birch Creek,11513,2007,2011
Brevig Mission,8873,2007,2011
Buckland,9344,2007,2011
Buffalo Soapstone,33957,2007,2011
Butte,32615,2007,2011
Cantwell,24678,2007,2011
Central,21110,2007,2011
Chalkyitsik,19900,2007,2011
Chase,43579,2007,2011
Chefornak,9682,2007,2011
Chena Ridge,38166,2007,2011
Chenega,25106,2007,2011
Chevak,7937,2007,2011
Chickaloon,30498,2007,2011
Chicken,,2007,2011
Chignik Lagoon,46739,2007,2011
Chignik Lake,20795,2007,2011
Chignik,26965,2007,2011
Chiniak,30185,2007,2011
Chisana,,2007,2011
Chistochina,19396,2007,2011
Chitina,18316,2007,2011
Chuathbaluk,17413,2007,2011
Circle,8502,2007,2011
Clam Gulch,38846,2007,2011
Clark's Point,10651,2007,2011
Coffman Cove,25792,2007,2011
Cohoe,28238,2007,2011
Cold Bay,25790,2007,2011
Coldfoot,,2007,2011
College,35163,2007,2011
Cooper Landing,44716,2007,2011
Copper Center,22708,2007,2011
Cordova,34412,2007,2011
Covenant Life,25698,2007,2011
Craig,26651,2007,2011
Crooked Creek,11540,2007,2011
Crown Point,19577,2007,2011
Deering,16596,2007,2011
Delta Junction,36112,2007,2011
Deltana,27062,2007,2011
Diamond Ridge,32939,2007,2011
Dillingham,33539,2007,2011
Diomede,13285,2007,2011
Dot Lake,,2007,2011
Dot Lake Village,12899,2007,2011
Dry Creek,,2007,2011
Eagle Village,13515,2007,2011
Eagle,19079,2007,2011
Edna Bay,,2007,2011
Eek,10764,2007,2011
Egegik,36908,2007,2011
Eielson AFB,20277,2007,2011
Ekwok,24747,2007,2011
Elfin Cove,21375,2007,2011
Elim,11080,2007,2011
Emmonak,15442,2007,2011
Ester,28096,2007,2011
Eureka Roadhouse,,2007,2011
Evansville,53057,2007,2011
Excursion Inlet,,2007,2011
Fairbanks,27522,2007,2011
False Pass,21387,2007,2011
Farm Loop,36651,2007,2011
Farmers Loop,38765,2007,2011
Ferry,,2007,2011
Fishhook,32766,2007,2011
Flat,,2007,2011
Fort Greely,39366,2007,2011
Fort Yukon,20937,2007,2011
Four Mile Road,14284,2007,2011
Fox,32295,2007,2011
Fox River,12468,2007,2011
Fritz Creek,27850,2007,2011
Funny River,23357,2007,2011
Gakona,32160,2007,2011
Galena,29161,2007,2011
Gambell,10047,2007,2011
Game Creek,,2007,2011
Gateway,35554,2007,2011
Glacier View,30085,2007,2011
Glennallen,20231,2007,2011
Goldstream,45600,2007,2011
Golovin,12988,2007,2011
Goodnews Bay,10141,2007,2011
Grayling,8619,2007,2011
Gulkana,17838,2007,2011
Gustavus,42462,2007,2011
Haines,30269,2007,2011
Halibut Cove,28713,2007,2011
Happy Valley,34972,2007,2011
Harding-Birch Lakes,27651,2007,2011
Healy,39021,2007,2011
Healy Lake,,2007,2011
Hobart Bay,,2007,2011
Hollis,14454,2007,2011
Holy Cross,16014,2007,2011
Homer,31471,2007,2011
Hoonah,27926,2007,2011
Hooper Bay,8849,2007,2011
Hope,29056,2007,2011
Houston,24355,2007,2011
Hughes,17396,2007,2011
Huslia,10332,2007,2011
Hydaburg,20520,2007,2011
Hyder,21899,2007,2011
Igiugig,11427,2007,2011
Iliamna,36400,2007,2011
Ivanof Bay,,2007,2011
Juneau,37294,2007,2011
Kachemak,31819,2007,2011
Kake,24413,2007,2011
Kaktovik,21214,2007,2011
Kalifornsky,33210,2007,2011
Kaltag,14103,2007,2011
Karluk,10584,2007,2011
Kasaan,25824,2007,2011
Kasigluk,9418,2007,2011
Kasilof,18711,2007,2011
Kenai,30045,2007,2011
Kenny Lake,30152,2007,2011
Ketchikan,27107,2007,2011
Kiana,16301,2007,2011
King Cove,23320,2007,2011
King Salmon,40064,2007,2011
Kipnuk,10248,2007,2011
Kivalina,12202,2007,2011
Klawock,25953,2007,2011
Klukwan,22432,2007,2011
Knik River,28878,2007,2011
Knik-Fairview,28604,2007,2011
Kobuk,11184,2007,2011
Kodiak Station,17651,2007,2011
Kodiak,25986,2007,2011
Kokhanok,16992,2007,2011
Koliganek,15994,2007,2011
Kongiganak,8763,2007,2011
Kotlik,10745,2007,2011
Kotzebue,23935,2007,2011
Koyuk,9169,2007,2011
Koyukuk,13635,2007,2011
Kupreanof,22657,2007,2011
Kwethluk,14209,2007,2011
Kwigillingok,9711,2007,2011
Lake Louise,23962,2007,2011
Lake Minchumina,,2007,2011
Lakes,35428,2007,2011
Larsen Bay,28882,2007,2011
Lazy Mountain,34920,2007,2011
Levelock,16173,2007,2011
Lime Village,21214,2007,2011
Livengood,28282,2007,2011
Loring,,2007,2011
Lowell Point,,2007,2011
Lower Kalskag,11637,2007,2011
Lutak,,2007,2011
Manley Hot Springs,30097,2007,2011
Manokotak,12242,2007,2011
Marshall,12183,2007,2011
McCarthy,35845,2007,2011
McGrath,33671,2007,2011
Denali Park,29888,2007,2011
Meadow Lakes,27503,2007,2011
Mekoryuk,22233,2007,2011
Mendeltna,,2007,2011
Mentasta Lake,9355,2007,2011
Mertarvik,,2007,2011
Metlakatla,21240,2007,2011
Minto,13952,2007,2011
Moose Creek,24914,2007,2011
Moose Pass,29793,2007,2011
Mosquito Lake,35642,2007,2011
Mountain Village,12650,2007,2011
Mud Bay,26979,2007,2011
Nabesna,,2007,2011
Naknek,34790,2007,2011
Nanwalek,8084,2007,2011
Napakiak,10053,2007,2011
Napaskiak,15188,2007,2011
Naukati Bay,47864,2007,2011
Nelchina,,2007,2011
Nelson Lagoon,21896,2007,2011
Nenana,26568,2007,2011
New Allakaket,9549,2007,2011
New Stuyahok,9474,2007,2011
Newhalen,17981,2007,2011
Newtok,8880,2007,2011
Nightmute,12130,2007,2011
Nikiski,31301,2007,2011
Nikolaevsk,19773,2007,2011
Nikolai,6798,2007,2011
Nikolski,22668,2007,2011
Ninilchik,26329,2007,2011
Noatak,13240,2007,2011
Nome,33502,2007,2011
Nondalton,14880,2007,2011
Noorvik,14510,2007,2011
North Pole,31483,2007,2011
Northway,18503,2007,2011
Northway Junction,10052,2007,2011
Northway Village,8376,2007,2011
Nuiqsut,27356,2007,2011
Nulato,18778,2007,2011
Nunam Iqua,12035,2007,2011
Nunapitchuk,12484,2007,2011
Old Harbor,15921,2007,2011
Oscarville,10184,2007,2011
Ouzinkie,19263,2007,2011
Palmer,24267,2007,2011
Paxson,35426,2007,2011
Pedro Bay,23539,2007,2011
Pelican,31321,2007,2011
Perryville,11640,2007,2011
Petersburg,32156,2007,2011
Petersville,,2007,2011
Pilot Point,20242,2007,2011
Pilot Station,13762,2007,2011
Pitkas Point,10671,2007,2011
Platinum,9005,2007,2011
Pleasant Valley,32844,2007,2011
Point Baker,,2007,2011
Point Hope,22989,2007,2011
Point Lay,13502,2007,2011
Point MacKenzie,16173,2007,2011
Point Possession,61770,2007,2011
Pope-Vannoy Landing,,2007,2011
Port Alexander,12900,2007,2011
Port Alsworth,18043,2007,2011
Port Clarence,32773,2007,2011
Port Graham,13460,2007,2011
Port Heiden,28003,2007,2011
Port Lions,26634,2007,2011
Port Protection,34175,2007,2011
Portage Creek,,2007,2011
Primrose,,2007,2011
Prudhoe Bay,101340,2007,2011
Quinhagak,10140,2007,2011
Rampart,15500,2007,2011
Red Devil,36000,2007,2011
Red Dog Mine,85863,2007,2011
Ridgeway,34037,2007,2011
Ruby,12016,2007,2011
Russian Mission,11225,2007,2011
Salamatof,22577,2007,2011
Salcha,34307,2007,2011
Sand Point,24402,2007,2011
Savoonga,8245,2007,2011
Saxman,19765,2007,2011
Scammon Bay,8356,2007,2011
Selawik,10973,2007,2011
Seldovia Village,31978,2007,2011
Seldovia,30754,2007,2011
Seward,28793,2007,2011
Shageluk,12415,2007,2011
Shaktoolik,12803,2007,2011
Shishmaref,10439,2007,2011
Shungnak,10261,2007,2011
Silver Springs,35507,2007,2011
Sitka,32451,2007,2011
Skagway,36342,2007,2011
Skwentna,,2007,2011
Slana,22552,2007,2011
Sleetmute,22259,2007,2011
Soldotna,29640,2007,2011
South Naknek,23372,2007,2011
South Van Horn,22274,2007,2011
Saint George,25711,2007,2011
Saint Mary's,15307,2007,2011
Saint Michael,13348,2007,2011
Saint Paul,22281,2007,2011
Stebbins,8938,2007,2011
Steele Creek,34949,2007,2011
Sterling,33942,2007,2011
Stevens Village,21997,2007,2011
Stony River,4320,2007,2011
Sunrise,,2007,2011
Susitna,46225,2007,2011
Susitna North,22080,2007,2011
Sutton-Alpine,19926,2007,2011
Takotna,8765,2007,2011
Talkeetna,20250,2007,2011
Tanacross,14801,2007,2011
Tanaina,25971,2007,2011
Tanana,19307,2007,2011
Tatitlek,13966,2007,2011
Tazlina,29960,2007,2011
Teller,11256,2007,2011
Tenakee Springs,33378,2007,2011
Tetlin,15383,2007,2011
Thorne Bay,32292,2007,2011
Togiak,11844,2007,2011
Tok,22355,2007,2011
Toksook Bay,14703,2007,2011
Tolsona,,2007,2011
Tonsina,38338,2007,2011
Trapper Creek,21263,2007,2011
Tuluksak,7304,2007,2011
Tuntutuliak,10505,2007,2011
Tununak,11639,2007,2011
Twin Hills,14991,2007,2011
Two Rivers,49727,2007,2011
Tyonek,21032,2007,2011
Ugashik,35642,2007,2011
Unalakleet,19919,2007,2011
Unalaska,30224,2007,2011
Upper Kalskag,15655,2007,2011
Valdez,34614,2007,2011
Venetie,11017,2007,2011
Wainwright,20651,2007,2011
Wales,11835,2007,2011
Wasilla,29006,2007,2011
Whale Pass,20965,2007,2011
White Mountain,20756,2007,2011
Whitestone,27069,2007,2011
Whitestone Logging Camp,11783,2007,2011
Whittier,32797,2007,2011
Willow,30127,2007,2011
Willow Creek,,2007,2011
Wiseman,,2007,2011
Womens Bay,30317,2007,2011
Wrangell,29643,2007,2011
Yakutat,34315,2007,2011
Alaska,32537,2008,2012
Aleutians East Borough,24932,2008,2012
Aleutians West Census Area,32014,2008,2012
Anchorage,36145,2008,2012
Bethel Census Area,19055,2008,2012
Bristol Bay Borough,37150,2008,2012
Denali Borough,38621,2008,2012
Dillingham Census Area,22066,2008,2012
Fairbanks North Star Borough,32344,2008,2012
Haines Borough,29141,2008,2012
Hoonah-Angoon Census Area,28288,2008,2012
Juneau,37917,2008,2012
Kenai Peninsula Borough,30789,2008,2012
Ketchikan Gateway Borough,30610,2008,2012
Kodiak Island Borough,27865,2008,2012
Lake and Peninsula Borough,22087,2008,2012
Matanuska-Susitna Borough,29465,2008,2012
Nome Census Area,19942,2008,2012
North Slope Borough,41712,2008,2012
Northwest Arctic Borough,21902,2008,2012
Petersburg Census Area,31836,2008,2012
Prince of Wales-Hyder Census Area,25369,2008,2012
Sitka,32162,2008,2012
Skagway,36470,2008,2012
Southeast Fairbanks Census Area,28833,2008,2012
Valdez-Cordova Census Area,33094,2008,2012
Kusilvak Census Area,11380,2008,2012
Wrangell,28267,2008,2012
Yakutat,39428,2008,2012
Yukon-Koyukuk Census Area,20109,2008,2012
Adak,30085,2008,2012
Akhiok,9044,2008,2012
Akiachak,13224,2008,2012
Akiak,12501,2008,2012
Akutan,24680,2008,2012
Alakanuk,11868,2008,2012
Alatna,,2008,2012
Alcan Border,,2008,2012
Aleknagik,18256,2008,2012
Aleneva,,2008,2012
Allakaket,11702,2008,2012
Ambler,13204,2008,2012
Anaktuvuk Pass,18936,2008,2012
Anchor Point,27357,2008,2012
Anchorage,36145,2008,2012
Anderson,46734,2008,2012
Angoon,21897,2008,2012
Aniak,21582,2008,2012
Anvik,10640,2008,2012
Arctic Village,14219,2008,2012
Atka,51146,2008,2012
Atmautluak,13249,2008,2012
Atqasuk,18265,2008,2012
Attu Station,,2008,2012
Badger,30424,2008,2012
Utqiagvik,29605,2008,2012
Bear Creek,26115,2008,2012
Beaver,14335,2008,2012
Beluga,61574,2008,2012
Bethel,30863,2008,2012
Bettles,45050,2008,2012
Big Delta,20708,2008,2012
Big Lake,28981,2008,2012
Birch Creek,10872,2008,2012
Brevig Mission,9287,2008,2012
Buckland,10149,2008,2012
Buffalo Soapstone,34566,2008,2012
Butte,32084,2008,2012
Cantwell,29066,2008,2012
Central,22943,2008,2012
Chalkyitsik,14969,2008,2012
Chase,,2008,2012
Chefornak,10631,2008,2012
Chena Ridge,43858,2008,2012
Chenega,16366,2008,2012
Chevak,8707,2008,2012
Chickaloon,32184,2008,2012
Chicken,,2008,2012
Chignik Lagoon,53532,2008,2012
Chignik Lake,24926,2008,2012
Chignik,28823,2008,2012
Chiniak,30648,2008,2012
Chisana,,2008,2012
Chistochina,20402,2008,2012
Chitina,17753,2008,2012
Chuathbaluk,16343,2008,2012
Circle,16450,2008,2012
Clam Gulch,33758,2008,2012
Clark's Point,12732,2008,2012
Coffman Cove,19007,2008,2012
Cohoe,29868,2008,2012
Cold Bay,30133,2008,2012
Coldfoot,,2008,2012
College,34389,2008,2012
Cooper Landing,41390,2008,2012
Copper Center,24269,2008,2012
Cordova,38287,2008,2012
Covenant Life,17320,2008,2012
Craig,28099,2008,2012
Crooked Creek,10391,2008,2012
Crown Point,21345,2008,2012
Deering,16168,2008,2012
Delta Junction,37282,2008,2012
Deltana,25263,2008,2012
Diamond Ridge,34492,2008,2012
Dillingham,33193,2008,2012
Diomede,12291,2008,2012
Dot Lake,,2008,2012
Dot Lake Village,11599,2008,2012
Dry Creek,18435,2008,2012
Eagle Village,13824,2008,2012
Eagle,15591,2008,2012
Edna Bay,,2008,2012
Eek,10649,2008,2012
Egegik,34034,2008,2012
Eielson AFB,22638,2008,2012
Ekwok,23685,2008,2012
Elfin Cove,32296,2008,2012
Elim,12350,2008,2012
Emmonak,15865,2008,2012
Ester,33668,2008,2012
Eureka Roadhouse,,2008,2012
Evansville,47473,2008,2012
Excursion Inlet,,2008,2012
Fairbanks,27646,2008,2012
False Pass,20767,2008,2012
Farm Loop,32555,2008,2012
Farmers Loop,39573,2008,2012
Ferry,,2008,2012
Fishhook,31776,2008,2012
Flat,,2008,2012
Fort Greely,36447,2008,2012
Fort Yukon,24850,2008,2012
Four Mile Road,23000,2008,2012
Fox,34873,2008,2012
