source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Alaska,700703,2007,2011
Aleutians East Borough,3084,2007,2011
Aleutians West Census Area,5488,2007,2011
Anchorage,287390,2007,2011
Bethel Census Area,16973,2007,2011
Bristol Bay Borough,1035,2007,2011
Denali Borough,1770,2007,2011
Dillingham Census Area,4845,2007,2011
Fairbanks North Star Borough,96161,2007,2011
Haines Borough,2519,2007,2011
Hoonah-Angoon Census Area,2029,2007,2011
Juneau,31244,2007,2011
Kenai Peninsula Borough,54718,2007,2011
Ketchikan Gateway Borough,13417,2007,2011
Kodiak Island Borough,13488,2007,2011
Lake and Peninsula Borough,1540,2007,2011
Matanuska-Susitna Borough,86817,2007,2011
Nome Census Area,9443,2007,2011
North Slope Borough,9088,2007,2011
Northwest Arctic Borough,7532,2007,2011
Petersburg Census Area,3831,2007,2011
Prince of Wales-Hyder Census Area,5541,2007,2011
Sitka,8879,2007,2011
Skagway,1105,2007,2011
Southeast Fairbanks Census Area,7000,2007,2011
Valdez-Cordova Census Area,9596,2007,2011
Kusilvak Census Area,7473,2007,2011
Wrangell,2353,2007,2011
Yakutat,731,2007,2011
Yukon-Koyukuk Census Area,5613,2007,2011
Adak,124,2007,2011
Akhiok,131,2007,2011
Akiachak,644,2007,2011
Akiak,331,2007,2011
Akutan,946,2007,2011
Alakanuk,533,2007,2011
Alatna,8,2007,2011
Alcan Border,24,2007,2011
Aleknagik,254,2007,2011
Aleneva,75,2007,2011
Allakaket,65,2007,2011
Ambler,260,2007,2011
Anaktuvuk Pass,407,2007,2011
Anchor Point,2025,2007,2011
Anchorage,287390,2007,2011
Anderson,403,2007,2011
Angoon,399,2007,2011
Aniak,564,2007,2011
Anvik,102,2007,2011
Arctic Village,84,2007,2011
Atka,60,2007,2011
Atmautluak,326,2007,2011
Atqasuk,325,2007,2011
Attu Station,18,2007,2011
Badger,19266,2007,2011
Utqiagvik,4153,2007,2011
Bear Creek,2318,2007,2011
Beaver,77,2007,2011
Beluga,43,2007,2011
Bethel,6036,2007,2011
Bettles,25,2007,2011
Big Delta,536,2007,2011
Big Lake,3479,2007,2011
Birch Creek,16,2007,2011
Brevig Mission,326,2007,2011
Buckland,483,2007,2011
Buffalo Soapstone,763,2007,2011
Butte,3248,2007,2011
Cantwell,168,2007,2011
Central,135,2007,2011
Chalkyitsik,50,2007,2011
Chase,47,2007,2011
Chefornak,451,2007,2011
Chena Ridge,5766,2007,2011
Chenega,95,2007,2011
Chevak,943,2007,2011
Chickaloon,204,2007,2011
Chicken,0,2007,2011
Chignik Lagoon,77,2007,2011
Chignik Lake,83,2007,2011
Chignik,142,2007,2011
Chiniak,27,2007,2011
Chisana,0,2007,2011
Chistochina,159,2007,2011
Chitina,113,2007,2011
Chuathbaluk,94,2007,2011
Circle,61,2007,2011
Clam Gulch,70,2007,2011
Clark's Point,63,2007,2011
Coffman Cove,63,2007,2011
Cohoe,1216,2007,2011
Cold Bay,31,2007,2011
Coldfoot,0,2007,2011
College,13894,2007,2011
Cooper Landing,520,2007,2011
Copper Center,346,2007,2011
Cordova,2366,2007,2011
Covenant Life,100,2007,2011
Craig,1315,2007,2011
Crooked Creek,148,2007,2011
Crown Point,47,2007,2011
Deering,68,2007,2011
Delta Junction,900,2007,2011
Deltana,1777,2007,2011
Diamond Ridge,1054,2007,2011
Dillingham,2207,2007,2011
Diomede,128,2007,2011
Dot Lake,12,2007,2011
Dot Lake Village,69,2007,2011
Dry Creek,7,2007,2011
Eagle Village,41,2007,2011
Eagle,71,2007,2011
Edna Bay,19,2007,2011
Eek,204,2007,2011
Egegik,25,2007,2011
Eielson AFB,2814,2007,2011
Ekwok,161,2007,2011
Elfin Cove,20,2007,2011
Elim,363,2007,2011
Emmonak,823,2007,2011
Ester,2301,2007,2011
Eureka Roadhouse,0,2007,2011
Evansville,21,2007,2011
Excursion Inlet,0,2007,2011
Fairbanks,31467,2007,2011
False Pass,15,2007,2011
Farm Loop,968,2007,2011
Farmers Loop,4016,2007,2011
Ferry,0,2007,2011
Fishhook,4690,2007,2011
Flat,0,2007,2011
Fort Greely,1089,2007,2011
Fort Yukon,540,2007,2011
Four Mile Road,38,2007,2011
Fox,696,2007,2011
Fox River,679,2007,2011
Fritz Creek,1586,2007,2011
Funny River,675,2007,2011
Gakona,233,2007,2011
Galena,526,2007,2011
Gambell,747,2007,2011
Game Creek,34,2007,2011
Gateway,5437,2007,2011
Glacier View,242,2007,2011
Glennallen,610,2007,2011
Goldstream,3781,2007,2011
Golovin,104,2007,2011
Goodnews Bay,372,2007,2011
Grayling,215,2007,2011
Gulkana,119,2007,2011
Gustavus,454,2007,2011
Haines,2038,2007,2011
Halibut Cove,8,2007,2011
Happy Valley,470,2007,2011
Harding-Birch Lakes,361,2007,2011
Healy,874,2007,2011
Healy Lake,0,2007,2011
Hobart Bay,0,2007,2011
Hollis,118,2007,2011
Holy Cross,202,2007,2011
Homer,4987,2007,2011
Hoonah,726,2007,2011
Hooper Bay,1270,2007,2011
Hope,114,2007,2011
Houston,1910,2007,2011
Hughes,80,2007,2011
Huslia,273,2007,2011
Hydaburg,420,2007,2011
Hyder,116,2007,2011
Igiugig,37,2007,2011
Iliamna,55,2007,2011
Ivanof Bay,0,2007,2011
Juneau,31244,2007,2011
Kachemak,687,2007,2011
Kake,470,2007,2011
Kaktovik,393,2007,2011
Kalifornsky,7866,2007,2011
Kaltag,187,2007,2011
Karluk,44,2007,2011
Kasaan,34,2007,2011
Kasigluk,555,2007,2011
Kasilof,519,2007,2011
Kenai,7074,2007,2011
Kenny Lake,181,2007,2011
Ketchikan,8008,2007,2011
Kiana,347,2007,2011
King Cove,844,2007,2011
King Salmon,381,2007,2011
Kipnuk,553,2007,2011
Kivalina,377,2007,2011
Klawock,627,2007,2011
Klukwan,113,2007,2011
Knik River,668,2007,2011
Knik-Fairview,13620,2007,2011
Kobuk,95,2007,2011
Kodiak Station,1778,2007,2011
Kodiak,6087,2007,2011
Kokhanok,125,2007,2011
Koliganek,263,2007,2011
Kongiganak,345,2007,2011
Kotlik,565,2007,2011
Kotzebue,3202,2007,2011
Koyuk,329,2007,2011
Koyukuk,110,2007,2011
Kupreanof,53,2007,2011
Kwethluk,672,2007,2011
Kwigillingok,275,2007,2011
Lake Louise,29,2007,2011
Lake Minchumina,0,2007,2011
Lakes,9336,2007,2011
Larsen Bay,83,2007,2011
Lazy Mountain,1281,2007,2011
Levelock,89,2007,2011
Lime Village,22,2007,2011
Livengood,51,2007,2011
Loring,0,2007,2011
Lowell Point,0,2007,2011
Lower Kalskag,292,2007,2011
Lutak,25,2007,2011
Manley Hot Springs,74,2007,2011
Manokotak,383,2007,2011
Marshall,362,2007,2011
McCarthy,78,2007,2011
McGrath,418,2007,2011
Denali Park,262,2007,2011
Meadow Lakes,6224,2007,2011
Mekoryuk,177,2007,2011
Mendeltna,29,2007,2011
Mentasta Lake,173,2007,2011
Mertarvik,0,2007,2011
Metlakatla,1415,2007,2011
Minto,184,2007,2011
Moose Creek,627,2007,2011
Moose Pass,256,2007,2011
Mosquito Lake,114,2007,2011
Mountain Village,758,2007,2011
Mud Bay,114,2007,2011
Nabesna,0,2007,2011
Naknek,586,2007,2011
Nanwalek,233,2007,2011
Napakiak,358,2007,2011
Napaskiak,363,2007,2011
Naukati Bay,77,2007,2011
Nelchina,31,2007,2011
Nelson Lagoon,24,2007,2011
Nenana,448,2007,2011
New Allakaket,81,2007,2011
New Stuyahok,518,2007,2011
Newhalen,181,2007,2011
Newtok,399,2007,2011
Nightmute,336,2007,2011
Nikiski,4383,2007,2011
Nikolaevsk,202,2007,2011
Nikolai,63,2007,2011
Nikolski,40,2007,2011
Ninilchik,496,2007,2011
Noatak,525,2007,2011
Nome,3575,2007,2011
Nondalton,211,2007,2011
Noorvik,648,2007,2011
North Pole,2236,2007,2011
Northway,206,2007,2011
Northway Junction,29,2007,2011
Northway Village,82,2007,2011
Nuiqsut,564,2007,2011
Nulato,276,2007,2011
Nunam Iqua,175,2007,2011
Nunapitchuk,416,2007,2011
Old Harbor,221,2007,2011
Oscarville,91,2007,2011
Ouzinkie,282,2007,2011
Palmer,5891,2007,2011
Paxson,19,2007,2011
Pedro Bay,18,2007,2011
Pelican,96,2007,2011
Perryville,104,2007,2011
Petersburg,3098,2007,2011
Petersville,0,2007,2011
Pilot Point,33,2007,2011
Pilot Station,493,2007,2011
Pitkas Point,150,2007,2011
Platinum,44,2007,2011
Pleasant Valley,556,2007,2011
Point Baker,9,2007,2011
Point Hope,1139,2007,2011
Point Lay,314,2007,2011
Point MacKenzie,336,2007,2011
Point Possession,27,2007,2011
Pope-Vannoy Landing,9,2007,2011
Port Alexander,83,2007,2011
Port Alsworth,203,2007,2011
Port Clarence,41,2007,2011
Port Graham,114,2007,2011
Port Heiden,75,2007,2011
Port Lions,251,2007,2011
Port Protection,40,2007,2011
Portage Creek,0,2007,2011
Primrose,17,2007,2011
Prudhoe Bay,654,2007,2011
Quinhagak,645,2007,2011
Rampart,38,2007,2011
Red Devil,20,2007,2011
Red Dog Mine,448,2007,2011
Ridgeway,2354,2007,2011
Ruby,221,2007,2011
Russian Mission,357,2007,2011
Salamatof,981,2007,2011
Salcha,825,2007,2011
Sand Point,1224,2007,2011
Savoonga,701,2007,2011
Saxman,436,2007,2011
Scammon Bay,540,2007,2011
Selawik,703,2007,2011
Seldovia Village,105,2007,2011
Seldovia,276,2007,2011
Seward,2661,2007,2011
Shageluk,94,2007,2011
Shaktoolik,245,2007,2011
Shishmaref,659,2007,2011
Shungnak,376,2007,2011
Silver Springs,118,2007,2011
Sitka,8879,2007,2011
Skagway,1035,2007,2011
Skwentna,0,2007,2011
Slana,182,2007,2011
Sleetmute,82,2007,2011
Soldotna,4116,2007,2011
South Naknek,68,2007,2011
South Van Horn,475,2007,2011
Saint George,118,2007,2011
Saint Mary's,501,2007,2011
Saint Michael,367,2007,2011
Saint Paul,716,2007,2011
Stebbins,572,2007,2011
Steele Creek,6396,2007,2011
Sterling,5476,2007,2011
Stevens Village,65,2007,2011
Stony River,41,2007,2011
Sunrise,0,2007,2011
Susitna,24,2007,2011
Susitna North,1419,2007,2011
Sutton-Alpine,1271,2007,2011
Takotna,55,2007,2011
Talkeetna,501,2007,2011
Tanacross,122,2007,2011
Tanaina,9403,2007,2011
Tanana,303,2007,2011
Tatitlek,58,2007,2011
Tazlina,321,2007,2011
Teller,270,2007,2011
Tenakee Springs,77,2007,2011
Tetlin,101,2007,2011
Thorne Bay,500,2007,2011
Togiak,874,2007,2011
Tok,1437,2007,2011
Toksook Bay,682,2007,2011
Tolsona,0,2007,2011
Tonsina,84,2007,2011
Trapper Creek,361,2007,2011
Tuluksak,454,2007,2011
Tuntutuliak,358,2007,2011
Tununak,367,2007,2011
Twin Hills,57,2007,2011
Two Rivers,327,2007,2011
Tyonek,254,2007,2011
Ugashik,24,2007,2011
Unalakleet,692,2007,2011
Unalaska,4157,2007,2011
Upper Kalskag,231,2007,2011
Valdez,3937,2007,2011
Venetie,132,2007,2011
Wainwright,764,2007,2011
Wales,118,2007,2011
Wasilla,7678,2007,2011
Whale Pass,51,2007,2011
White Mountain,159,2007,2011
Whitestone,105,2007,2011
Whitestone Logging Camp,48,2007,2011
Whittier,233,2007,2011
Willow,1819,2007,2011
Willow Creek,46,2007,2011
Wiseman,0,2007,2011
Womens Bay,719,2007,2011
Wrangell,2353,2007,2011
Yakutat,633,2007,2011
Alaska,711139,2008,2012
Aleutians East Borough,3114,2008,2012
Aleutians West Census Area,5507,2008,2012
Anchorage,291470,2008,2012
Bethel Census Area,17184,2008,2012
Bristol Bay Borough,929,2008,2012
Denali Borough,1917,2008,2012
Dillingham Census Area,4887,2008,2012
Fairbanks North Star Borough,97523,2008,2012
Haines Borough,2500,2008,2012
Hoonah-Angoon Census Area,2153,2008,2012
Juneau,31636,2008,2012
Kenai Peninsula Borough,55474,2008,2012
Ketchikan Gateway Borough,13525,2008,2012
Kodiak Island Borough,13710,2008,2012
Lake and Peninsula Borough,1551,2008,2012
Matanuska-Susitna Borough,89319,2008,2012
Nome Census Area,9580,2008,2012
North Slope Borough,9317,2008,2012
Northwest Arctic Borough,7601,2008,2012
Petersburg Census Area,3822,2008,2012
Prince of Wales-Hyder Census Area,5603,2008,2012
Sitka,8909,2008,2012
