year,borough,type,value
1996,North Slope Borough,,220.5
1996,Fairbanks North Star Borough,,4.8
1996,Municipality of Anchorage,,1
1996,Kenai Peninsula Borough,,6.5
1996,City of Valdez,,12.7
1996,City of Cordova,,0
1996,Matanuska-Susitna Borough,,0.1
1997,North Slope Borough,,212.22
1997,Fairbanks North Star Borough,,4.66
1997,Municipality of Anchorage,,0.84
1997,Kenai Peninsula Borough,,7.43
1997,City of Valdez,,13.79
1997,City of Cordova,,0.04
1997,Matanuska-Susitna Borough,,0.08
1998,North Slope Borough,petroleum property tax,207.19
1998,Fairbanks North Star Borough,petroleum property tax,4.55
1998,Municipality of Anchorage,petroleum property tax,1.04
1998,Kenai Peninsula Borough,petroleum property tax,6.36
1998,City of Valdez,petroleum property tax,13.78
1998,City of Cordova,petroleum property tax,0.04
1998,Matanuska-Susitna Borough,petroleum property tax,0.05
1999,North Slope Borough,petroleum property tax,196.4
1999,Fairbanks North Star Borough,petroleum property tax,5
1999,Municipality of Anchorage,petroleum property tax,2.2
1999,Kenai Peninsula Borough,petroleum property tax,5.3
1999,City of Valdez,petroleum property tax,13.3
1999,Matanuska-Susitna Borough,petroleum property tax,0.1
2000,North Slope Borough,petroleum property tax,196.4
2000,Fairbanks North Star Borough,petroleum property tax,4.1
2000,Municipality of Anchorage,petroleum property tax,1.5
2000,Kenai Peninsula Borough,petroleum property tax,4
2000,City of Valdez,petroleum property tax,12.5
2000,Matanuska-Susitna Borough,petroleum property tax,0.1
2001,North Slope Borough,petroleum property tax,193.02
2001,Fairbanks North Star Borough,petroleum property tax,4.426
2001,Municipality of Anchorage,petroleum property tax,2.427
2001,Kenai Peninsula Borough,petroleum property tax,7.169
2001,City of Valdez,petroleum property tax,13.076
2001,Matanuska-Susitna Borough,petroleum property tax,0.04
2002,North Slope Borough,petroleum property tax,194.7
2002,Fairbanks North Star Borough,petroleum property tax,4.2
2002,Municipality of Anchorage,petroleum property tax,0.7
2002,Kenai Peninsula Borough,petroleum property tax,7.9
2002,City of Valdez,petroleum property tax,13.2
2003,North Slope Borough,petroleum property tax,194.2
2003,Fairbanks North Star Borough,petroleum property tax,4.4
2003,Municipality of Anchorage,petroleum property tax,0.8
2003,Kenai Peninsula Borough,petroleum property tax,7.7
2003,City of Valdez,petroleum property tax,13.2
2004,North Slope Borough,petroleum property tax,192.9
2004,Fairbanks North Star Borough,petroleum property tax,4.3
2004,Municipality of Anchorage,petroleum property tax,0.8
2004,Kenai Peninsula Borough,petroleum property tax,7.3
2004,City of Valdez,petroleum property tax,13.3
2005,North Slope Borough,petroleum property tax,192.8
