year,variable,units,value
1959,price per barrel of oil,dollars,2.1
1960,price per barrel of oil,dollars,1.9
1961,price per barrel of oil,dollars,1.8
1962,price per barrel of oil,dollars,1.8
1963,price per barrel of oil,dollars,1.8
1964,price per barrel of oil,dollars,1.8
1965,price per barrel of oil,dollars,1.8
1959,production,millions of barrels,0.1
1960,production,millions of barrels,0.2
1961,production,millions of barrels,2.6
1962,production,millions of barrels,9.2
1963,production,millions of barrels,10.5
1964,production,millions of barrels,10.9
1965,production,millions of barrels,11.1
1959,total north slope wellhead value,millions of dollars,0
1960,total north slope wellhead value,millions of dollars,0
1961,total north slope wellhead value,millions of dollars,0
1962,total north slope wellhead value,millions of dollars,0
1963,total north slope wellhead value,millions of dollars,0
1964,total north slope wellhead value,millions of dollars,0
1965,total north slope wellhead value,millions of dollars,0
1966,price per barrel of oil,dollars,1.8
1967,price per barrel of oil,dollars,1.8
1968,price per barrel of oil,dollars,1.8
1969,price per barrel of oil,dollars,1.8
1970,price per barrel of oil,dollars,1.8
1971,price per barrel of oil,dollars,2.2
1972,price per barrel of oil,dollars,2.5
1973,price per barrel of oil,dollars,3.3
1974,price per barrel of oil,dollars,11.6
1975,price per barrel of oil,dollars,11.5
1976,price per barrel of oil,dollars,12.8
1966,production,millions of barrels,11.7
1967,production,millions of barrels,18.4
1968,production,millions of barrels,50.1
1969,production,millions of barrels,70
1970,production,millions of barrels,79.6
1971,production,millions of barrels,79.9
1972,production,millions of barrels,75.9
1973,production,millions of barrels,71.7
1974,production,millions of barrels,70.9
1975,production,millions of barrels,70.2
1976,production,millions of barrels,65.7
1966,total north slope wellhead value,millions of dollars,0
1967,total north slope wellhead value,millions of dollars,0
1968,total north slope wellhead value,millions of dollars,0
1969,total north slope wellhead value,millions of dollars,0
1970,total north slope wellhead value,millions of dollars,0
1971,total north slope wellhead value,millions of dollars,0
1972,total north slope wellhead value,millions of dollars,0
1973,total north slope wellhead value,millions of dollars,0
1974,total north slope wellhead value,millions of dollars,0
1975,total north slope wellhead value,millions of dollars,0
1976,total north slope wellhead value,millions of dollars,0
1977,price per barrel of oil,dollars,13.9
1978,price per barrel of oil,dollars,12.8
1979,price per barrel of oil,dollars,31.6
1980,price per barrel of oil,dollars,36.8
1981,price per barrel of oil,dollars,34.4
1982,price per barrel of oil,dollars,32.2
1983,price per barrel of oil,dollars,30
1977,production,millions of barrels,64.7
1978,production,millions of barrels,339.4
1979,production,millions of barrels,482.8
1980,production,millions of barrels,571.8
1981,production,millions of barrels,585.7
1982,production,millions of barrels,603
1983,production,millions of barrels,621
1977,total north slope wellhead value,millions of dollars,0
1978,total north slope wellhead value,millions of dollars,1652.1
1979,total north slope wellhead value,millions of dollars,2563.9
1980,total north slope wellhead value,millions of dollars,7404.7
1981,total north slope wellhead value,millions of dollars,11366
1982,total north slope wellhead value,millions of dollars,12129
1983,total north slope wellhead value,millions of dollars,11276.2
1984,price per barrel of oil,dollars,29.2
1985,price per barrel of oil,dollars,27.6
1986,price per barrel of oil,dollars,20.9
1987,price per barrel of oil,dollars,14.5
1988,price per barrel of oil,dollars,15.8
1989,price per barrel of oil,dollars,14.8
1990,price per barrel of oil,dollars,16.9
1991,price per barrel of oil,dollars,21.8
1992,price per barrel of oil,dollars,17
1993,price per barrel of oil,dollars,17.5
1994,price per barrel of oil,dollars,14.1
1984,production,millions of barrels,629.5
1985,production,millions of barrels,644.8
1986,production,millions of barrels,682.2
1987,production,millions of barrels,707
1988,production,millions of barrels,749.3
1989,production,millions of barrels,727.9
1990,production,millions of barrels,678.6
1991,production,millions of barrels,673.5
1992,production,millions of barrels,664.4
1993,production,millions of barrels,648.2
1994,production,millions of barrels,620.3
1984,total north slope wellhead value,millions of dollars,10625.3
1985,total north slope wellhead value,millions of dollars,10859.2
1986,total north slope wellhead value,millions of dollars,8161.4
1987,total north slope wellhead value,millions of dollars,5346.2
1988,total north slope wellhead value,millions of dollars,7858.7
1989,total north slope wellhead value,millions of dollars,6804.2
1990,total north slope wellhead value,millions of dollars,7923.6
1991,total north slope wellhead value,millions of dollars,10137.6
1992,total north slope wellhead value,millions of dollars,7295.1
1993,total north slope wellhead value,millions of dollars,7794.1
