scenario,region,service,year,price,group,shares,gdppc_gm,gdppc,afford,afford_unit,satiation.impedance,satiation.gap
R_01a_BAU,AK,resid heating modern,2015,8.95966,d1,0.03577552,46.0757,16.48382127,831.7278519,GJ,477.1437705,0.298719046
R_01a_BAU,AK,resid heating modern,2015,8.95966,d2,0.05273922,46.0757,24.29996479,1226.108751,GJ,477.1437705,0.168441078
R_01a_BAU,AK,resid heating modern,2015,8.95966,d3,0.06246965,46.0757,28.78332853,1452.326837,GJ,477.1437705,0.121262642
R_01a_BAU,AK,resid heating modern,2015,8.95966,d4,0.07079971,46.0757,32.62146198,1645.988394,GJ,477.1437705,0.09152631
R_01a_BAU,AK,resid heating modern,2015,8.95966,d5,0.07892325,46.0757,36.3644399,1834.848667,GJ,477.1437705,0.069565516
R_01a_BAU,AK,resid heating modern,2015,8.95966,d6,0.08783549,46.0757,40.47081687,2042.045047,GJ,477.1437705,0.051484182
R_01a_BAU,AK,resid heating modern,2015,8.95966,d7,0.09872635,46.0757,45.48885685,2295.241411,GJ,477.1437705,0.035639552
R_01a_BAU,AK,resid heating modern,2015,8.95966,d8,0.1136468,46.0757,52.36355863,2642.119774,GJ,477.1437705,0.021532115
R_01a_BAU,AK,resid heating modern,2015,8.95966,d9,0.1399731,46.0757,64.49358564,3254.167257,GJ,477.1437705,0.008850054
R_01a_BAU,AK,resid heating modern,2015,8.95966,d10,0.2602661,46.0757,119.9194274,6050.801337,GJ,477.1437705,0.000152247
R_01a_BAU,AL,resid heating modern,2015,8.42241,d1,0.03593997,24.6777,8.869157977,476.0591195,GJ,259.7219908,0.280688812
R_01a_BAU,AL,resid heating modern,2015,8.42241,d2,0.05302481,24.6777,13.08530354,702.3640911,GJ,259.7219908,0.153435907
R_01a_BAU,AL,resid heating modern,2015,8.42241,d3,0.06282384,24.6777,15.50347876,832.1615726,GJ,259.7219908,0.108513962
R_01a_BAU,AL,resid heating modern,2015,8.42241,d4,0.07120275,24.6777,17.57120104,943.1482128,GJ,259.7219908,0.080695049
R_01a_BAU,AL,resid heating modern,2015,8.42241,d5,0.07936313,24.6777,19.58499513,1051.240215,GJ,259.7219908,0.060473232
R_01a_BAU,AL,resid heating modern,2015,8.42241,d6,0.0882968,24.6777,21.78961941,1169.57518,GJ,259.7219908,0.044096832
R_01a_BAU,AL,resid heating modern,2015,8.42241,d7,0.09917636,24.6777,24.47444459,1313.68531,GJ,259.7219908,0.03001767
R_01a_BAU,AL,resid heating modern,2015,8.42241,d8,0.1140205,24.6777,28.13763693,1510.310076,GJ,259.7219908,0.0177615
R_01a_BAU,AL,resid heating modern,2015,8.42241,d9,0.1400413,24.6777,34.55897189,1854.980346,GJ,259.7219908,0.007079304
R_01a_BAU,AL,resid heating modern,2015,8.42241,d10,0.2571981,24.6777,63.47057552,3406.833702,GJ,259.7219908,0.000112543
R_01a_BAU,AR,resid heating modern,2015,7.89454,d1,0.03737972,24.1201,9.016025844,516.3012728,GJ,268.6964525,0.263979194
R_01a_BAU,AR,resid heating modern,2015,7.89454,d2,0.0547715,24.1201,13.21094057,756.5223914,GJ,268.6964525,0.142050122
R_01a_BAU,AR,resid heating modern,2015,7.89454,d3,0.06456757,24.1201,15.57376245,891.8290072,GJ,268.6964525,0.10019658
R_01a_BAU,AR,resid heating modern,2015,7.89454,d4,0.07283139,24.1201,17.5670041,1005.97167,GJ,268.6964525,0.074640561
